pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0659909473034,0.427247414482,[-0.29868228 -0.0703125 ],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0542736187344,0.707726478809,[ 0.67349927 -0.0703125 ],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,6,0.0549542339286,0.654533064808,[ 0.68228404 -0.1796875 ],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,6,0.0626153589692,0.422920441837,[-0.21083455 -0.19791667],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,6,0.0637587429956,0.611181287677,[ 0.22986823 -0.02864583],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,7,0.0551564901834,0.71994719177,[ 0.72327965 -0.18229167],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,0.0586215144722,0.551279773819,[-0.74963397 -0.19010417],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,7,0.0518120813649,0.606407956337,[ 0.19912152 -0.19010417],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0546699262923,0.520026453305,[-0.2284041 -0.0546875],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,0.0568332074909,0.787045830977,[ 0.73645681 -0.125     ],,,,,,,,,,,,2018_Jun_30_1720,59.9629767473,sequenceLearningTask,001,122,
