pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,6,6,6,,,,,['num_4'],7,0.0472212750465,0,"['num_0', 'num_0', 'num_0', 'num_0', 'num_7', 'num_4']",0,"[0.0005370248109102249, 0.23101263865828514, 0.5637781778350472, 0.9634621986187994, 1.9614843549206853, 2.147316741757095]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,6,6,6,,,,,['num_1'],7,0.061233565677,0,"['num_1', 'num_4', 'num_1']",0,"[0.00041723065078258514, 0.36584734451025724, 1.3827544003725052]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,6,6,6,,,,,['num_0'],7,0.05507767573,0,"['num_4', 'num_0']",0,"[3.388456136919558, 4.906078474596143]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,7,7,7,,,,,['num_7'],8,0.0571355195716,0,"['num_0', 'num_0', 'num_1', 'num_7']",0,"[0.0008045118302106857, 0.5173774142749608, 2.416952512226999]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,7,7,7,,,,,['num_1'],8,0.0526284477673,1,['num_1'],0,[1.5747529338113964],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,7,7,7,,,,,['num_4'],8,0.0626711021177,1,['num_4'],0,[1.6325218882411718],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,7,7,7,,,,,['num_0'],8,0.053451421205,1,['num_0'],0,[1.6409358265809715],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,7,7,7,,,,,['num_0'],8,0.0616766419262,0,"['num_1', 'num_0']",0,"[1.6160213956609368, 2.5819262582808733]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,7,7,7,,,,,['num_4'],8,0.0580996209756,1,['num_4'],0,[1.9690137817524374],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,7,7,7,,,,,['num_1'],8,0.0561488540843,1,['num_1'],0,[1.3219585781916976],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,7,7,7,,,,,['num_0'],8,0.0593857727945,1,['num_0'],0,[0.8514204905368388],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,8,8,8,,,,,['num_7'],9,0.0547835226171,1,['num_7'],0,[2.2714084866456687],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,8,8,8,,,,,['num_1'],9,0.0628721276298,1,['num_1'],0,[4.365323037374765],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,8,8,8,,,,,['num_4'],9,0.0551921376027,1,['num_4'],0,[3.405246270354837],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,8,8,8,,,,,['num_0'],9,0.0552926496603,1,['num_0'],0,[2.6059709461405873],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,8,8,8,,,,,['num_0'],9,0.0608216687106,1,['num_0'],0,[1.3170375586487353],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,8,8,8,,,,,['num_4'],9,0.0509911170229,1,['num_4'],0,[1.3275622632354498],,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,8,8,8,,,,,['num_1'],9,0.0562235205434,0,"['num_1', 'num_1']",0,"[0.00032410258427262306, 0.7875555432401597]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,8,8,8,,,,,['num_0'],9,0.0557336751372,0,"['num_1', 'num_1', 'num_1', 'num_1', 'num_0']",0,"[0.5719151934608817, 1.206152772065252, 1.6224443623796105, 2.0056098392233253, 2.3887999318540096]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,9,9,9,,,,,['num_7'],10,0.0532040372491,0,"['num_4', 'num_4', 'num_4', 'num_7']",0,"[0.7898406689055264, 1.10648971516639, 1.4388679726980627, 2.8562483824789524]",,2018_May_23_1629,59.9161543552,sequenceLearningTask,001,093,
