pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,stimulusPresent.t,responseTimeCorrect,pressLoc,responseTimeIncorrect,trialIncorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,0.0572865406284,0.700051405118,[ 0.7234375  -0.34166667],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,8,0.0516446967376,0.726870265789,[ 0.709375 -0.325   ],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,8,0.0587601810694,0.735863903188,[-0.2203125  -0.43055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,0.0608939237427,0.518133120728,[ 0.2453125  -0.32222222],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,9,0.0622141283238,0.764647070901,[ 0.73125    -0.33055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,9,0.0516766967485,0.556786233094,[-0.69375    -0.43055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,9,0.0561476692092,0.671572237276,[ 0.2421875  -0.36111111],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,9,0.0555367977358,0.687346179504,[-0.284375   -0.28055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,9,0.0572984380415,0.717623090255,[ 0.6609375  -0.26388889],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,9,0.0551975158742,0.703634993406,[ 0.6984375  -0.31944444],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,9,0.0510695175035,0.72495518974,[-0.2671875  -0.28055556],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,9,0.0628299228847,0.713466373854,[ 0.2328125  -0.29166667],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,10,0.0625706410501,0.794151879265,[ 0.8109375  -0.31388889],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,10,0.0537185420981,0.588864578982,[-0.7484375 -0.275    ],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,10,0.0563322845846,0.703399096034,[ 0.1890625  -0.35277778],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,10,0.0565640793648,0.602527752751,[-0.2609375  -0.34166667],,,,,,,,,,,2018_Jul_09_1222,59.695851283,sequenceLearningTask,001,031,
