pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,randomPaw,correctKeyPress,allowableKey,correctKey,correctKeyPressNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_1'],5,0.0515667903874,0,"['num_1', 'num_0', 'num_4', 'num_1']",0,"[0.0002933334526460385, 3.1933576177871146, 3.677999047384219, 4.544487197737908]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,4,4,4,,,,,,,,,,,,,,,,,['num_0'],5,0.0533764321553,1,['num_0'],0,[6.2903956063164514],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_7'],6,0.053481047582,1,['num_7'],0,[2.57211756804827],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_1'],6,0.0556779715607,0,"['num_4', 'num_1']",0,"[2.10523286368516, 2.6725254041139124]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_4'],6,0.0513674056892,1,['num_4'],0,[0.9932635869790829],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_0'],6,0.0504808412243,1,['num_0'],0,[0.8774764625541138],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_0'],6,0.0521399188274,1,['num_0'],0,[5.844133679644074],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_4'],6,0.051798585353,1,['num_4'],0,[1.1931885920766945],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_1'],6,0.05784453655,0,"['num_7', 'num_1']",0,"[0.12019122879610222, 1.686774435600455]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,5,5,5,,,,,,,,,,,,,,,,,['num_0'],6,0.0570945875261,1,['num_0'],0,[0.7539687195767328],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_7'],7,0.0470539680227,1,['num_7'],0,[0.8145521290462057],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_1'],7,0.0403836063106,1,['num_1'],0,[1.1717580191816523],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_4'],7,0.0503635078403,1,['num_4'],0,[1.278805447715058],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_0'],7,0.0622478204095,1,['num_0'],0,[0.5815854693682923],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_0'],7,0.0582371520977,1,['num_0'],0,[0.6529881653295888],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_4'],7,0.0495421741707,1,['num_4'],0,[0.7446091259935201],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_1'],7,0.0595105885186,1,['num_1'],0,[0.8014501749548799],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,6,6,6,,,,,,,,,,,,,,,,,['num_0'],7,0.051537251913,1,['num_0'],0,[0.6096921475655108],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_7'],8,0.0529177652988,1,['num_7'],0,[0.8897135957795399],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_1'],8,0.054324945364,1,['num_1'],0,[1.0734909019447514],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_4'],8,0.0645304880127,0,"['num_0', 'num_4']",0,"[0.3956727777112974, 1.296298788225613]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_0'],8,0.0567151001924,1,['num_0'],0,[0.3870405690431653],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_0'],8,0.0552361252248,1,['num_0'],0,[1.1728423273198132],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_4'],8,0.0478400196262,1,['num_4'],0,[1.6300646687450353],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_1'],8,0.0533587911214,1,['num_1'],0,[0.9089304241751961],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_0'],8,0.0521669957616,0,"['num_1', 'num_0', 'num_0']",0,"[0.49209456085918646, 1.6425721610557957]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_7'],9,0.0623241281337,1,['num_7'],0,[0.6123452768588322],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_1'],9,0.0560738691602,1,['num_1'],0,[2.137994723279917],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_4'],9,0.055543817658,0,"['num_0', 'num_4']",0,"[0.00029989755967108067, 1.505669540787494]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_0'],9,0.0557165356786,1,['num_0'],0,[0.83996916511569],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_0'],9,0.0606227941025,1,['num_0'],0,[0.5497807383708277],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_4'],9,0.0552065867523,1,['num_4'],0,[1.2061937256185047],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_1'],9,0.0518182776686,1,['num_1'],0,[1.1267742058553267],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_0'],9,0.0567684335474,1,['num_0'],0,[1.4550344430917903],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_7'],10,0.0538765349229,1,['num_7'],0,[1.088600651733941],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_1'],10,0.0543651505086,1,['num_1'],0,[0.8549242481749388],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_4'],10,0.0515544826885,1,['num_4'],0,[0.7763510877339286],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_0'],10,0.0493846356458,1,['num_0'],0,[0.5787953143772029],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_0'],10,0.0519425854127,1,['num_0'],0,[1.3756083592234063],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_4'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_4'],10,0.0570420746826,1,['num_4'],0,[1.0884041388326295],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_1'],10,0.0809526485955,0,"['num_0', 'num_1']",0,"[1.3140633083330613, 1.797833352957241]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_0'],,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_0'],10,0.0502695590858,0,"['num_1', 'num_0']",0,"[0.0002900514009525068, 0.8780500012526318]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_7'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_7'],1,0.0510629953078,0,"['num_0', 'num_0', 'num_7', 'num_7']",0,"[0.0003023590979864821, 1.0744143895044544]",,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,['num_1'],,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['num_1'],1,0.0523438163455,1,['num_1'],0,[0.808903716473651],,,,,,,,2018_Apr_03_1241,59.9927393376,sequenceLearningTask,001,051,
