pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctKey,repetitionNumber,stimulusPresent.t,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,keyRespCorrect,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_1'],8,0.0537796923891,1,['num_1'],0,[0.25603528204374015],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,['num_0'],8,0.0650732307695,0,"['num_4', 'num_0']",0,"[0.2801628718152642, 0.34681969229131937]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_7'],9,0.0531667692121,0,"['num_4', 'num_7']",0,"[0.23907282040454447, 0.40507938456721604]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_1'],9,0.050548922969,0,"['num_0', 'num_1']",0,"[0.36088574351742864, 0.4101665641646832]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_4'],9,0.0496902565937,0,"['num_7', 'num_4']",0,"[0.3282227690797299, 0.3942059485707432]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_0'],9,0.0529403076507,0,"['num_1', 'num_0']",0,"[0.32401846162974834, 0.374090256402269]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_0'],9,0.0538921025582,0,"['num_1', 'num_0']",0,"[0.3396344615612179, 0.37309497431851923]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_4'],9,0.0522941537201,1,['num_4'],0,[0.32539076916873455],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_1'],9,0.0556422562804,0,"['num_0', 'num_0', 'num_4', 'num_1', 'num_1']",0,"[0.0002888203598558903, 0.322612923104316, 0.35717005119659007, 1.27292389748618]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,['num_0'],9,0.0558445127681,1,['num_0'],0,[0.32193517964333296],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_7'],,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_7'],10,0.0512287179008,0,"['num_1', 'num_0', 'num_7']",0,"[0.00033641024492681026, 0.3244283078238368, 0.4074921025894582]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_1'],,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_1'],10,0.0596077947412,0,"['num_4', 'num_0', 'num_1']",0,"[0.0003126154188066721, 0.31794953835196793, 0.3511154870502651]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_4'],10,0.0536229743157,0,"['num_0', 'num_4']",0,"[0.00030112825334072113, 0.24098420492373407]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_0'],10,0.0554141537286,0,"['num_1', 'num_0']",0,"[0.272920205257833, 0.305705436039716]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_0'],,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_0'],10,0.0572065641172,0,"['num_1', 'num_0', 'num_0']",0,"[0.4215819488745183, 1.753883077064529]",,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,['num_4'],,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,['num_4'],10,0.0558990768623,1,['num_4'],0,[0.3044155896641314],,,,,,,,,2018_Jun_10_1759,60.0220142301,sequenceLearningTask,001,132,
