pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,blank,allowableKey,correctKey,correctKeyPressNum,posLoc,correctKeyPress,randomPaw,im_size,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_questions.thisRepN,trials_questions.thisTrialN,trials_questions.thisN,trials_questions.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,trials_recogtest.thisRepN,trials_recogtest.thisTrialN,trials_recogtest.thisN,trials_recogtest.thisIndex,correctLocation,correctImage,repetitionNumber,responseTimeIncorrect,trialIncorrect,stimulusPresent.t,responseTimeCorrect,pressLoc,anticipatoryResponse,questionsResponses,AnswerFinished.keys,AnswerFinished.rt,RecordAnswer.keys,RecordAnswer.rt,correctKey,trialCorrect,recallResponse,recallResponseTime,date,frameRate,expName,session,participant,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,7,,,0.0546761027072,0.697117128177,[-0.221875   -0.08055556],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,7,,,0.0553251281381,0.573342358926,[ 0.246875   -0.11388889],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(-0.75, -0.04)",images/min1.png,8,,,0.0559302563779,0.613540512742,[ 0.6921875  -0.11388889],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,8,,,0.0577661539428,0.518443076871,[-0.7734375  -0.12222222],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,8,,,0.0597046152689,0.565500717843,[ 0.2546875 -0.275    ],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,,,0.0603610256221,1.60443035909,[-0.1421875  -0.19166667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,,,0.0552947693504,0.704097640933,[ 0.6921875  -0.18611111],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(-0.25, -0.04)",images/min2.png,8,,,0.0566601024475,0.617837538477,[ 0.75       -0.06111111],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.25, -0.04)",images/min3.png,8,,,0.0599093332421,2.38607425638,[-0.2390625  -0.08055556],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
min1.png,min2.png,min3.png,min4.png,allBlank.png,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,"(0.75, -0.04)",images/min4.png,8,,,0.0561907694209,0.570223179413,[ 0.2328125  -0.04166667],,,,,,,,,,,2018_Jun_16_1603,59.6397392392,sequenceLearningTask,001,127,
