randomPaw,allowableKey,correctKey,blank,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,pawPatrol1,pawPatrol2,pawPatrol3,pawPatrol4,trialCorrect,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,date,frameRate,expName,session,participant,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,6,1,25,3,,,,,,,,,1,['4'],0,[0.30304789543151855],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,6,2,26,1,,,,,,,,,1,['2'],0,[0.1869819164276123],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,6,3,27,0,,,,,,,,,0,"['3', '1']",0,"[0.18671011924743652, 0.38684797286987305]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,7,0,28,0,,,,,,,,,1,['1'],0,[0.5534801483154297],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,7,1,29,3,,,,,,,,,0,"['3', '4']",0,"[0.3364908695220947, 0.6008429527282715]",2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,7,2,30,2,,,,,,,,,1,['3'],0,[0.35257816314697266],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,7,3,31,1,,,,,,,,,1,['2'],0,[0.28693103790283203],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,8,0,32,0,,,,,,,,,1,['1'],0,[0.3190269470214844],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,8,1,33,3,,,,,,,,,1,['4'],0,[0.3038201332092285],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,8,2,34,2,,,,,,,,,1,['3'],0,[0.3008739948272705],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,8,3,35,1,,,,,,,,,1,['2'],0,[0.48523402214050293],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min4.png,"['2', '1', '3', '4']",['4'],allBlank.png,,,,,9,0,36,3,,,,,,,,,1,['4'],0,[0.30255794525146484],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min1.png,"['2', '1', '3', '4']",['1'],allBlank.png,,,,,9,1,37,0,,,,,,,,,1,['1'],0,[0.32124996185302734],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min2.png,"['2', '1', '3', '4']",['2'],allBlank.png,,,,,9,2,38,1,,,,,,,,,1,['2'],0,[0.3704519271850586],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
min3.png,"['2', '1', '3', '4']",['3'],allBlank.png,,,,,9,3,39,2,,,,,,,,,1,['3'],0,[0.2688429355621338],2018_Feb_20_1444,59.8934733126,sequenceLearningTask,001,999,
